,content_id,post_uri,like_count,quote_count,reply_count,repost_count,post_created_at,text,tags,embedded_link_title,embedded_link_description,embedded_link_uri,author_username,author_displayname,author_account_created_at
1218,bafyreieiovrnk52ntnu5jhozsnemfazeu7zbxm7xzmpgfr3q7bu65v5u3i,at://did:plc:yf6hctt2ug3qyfty4in64yob/app.bsky.feed.post/3kc4o3spfkc2u,8,2,0,0,2023-10-19 17:23:26.900000+00:00,Jim Jordan is set to announce that he will not seek a Thursday third ballot in the speaker race and instead support a plan to let Acting Speaker Patrick McHenry (R-N.C.) run the House temporarily.,,"Jordan set to stop speaker balloting, support powers for McHenry","It's a remarkable victory for centrists who crafted the proposal to empower McHenry, who didn't seek out the speakership.",https://www.politico.com/live-updates/2023/10/19/congress/jordans-new-plan-00122465,politico.com,Politico,2023-04-28 22:40:12.228000+00:00
1219,bafyreif7wlvsufqlg5tyxxlld4irppkuilnx3hn33lm5q6cloftzcijcee,at://did:plc:yf6hctt2ug3qyfty4in64yob/app.bsky.feed.post/3kc4duzt2fr22,21,2,0,11,2023-10-19 14:20:42.068000+00:00,A former attorney for Donald Trump who was at the center of his effort to subvert the 2020 election reached a plea deal and will cooperate with Georgia prosecutors in the racketeering case against Trump and many of his allies.,,"Sidney Powell, attorney who aided Trump’s bid to subvert election, pleads guilty",Powell’s guilty plea makes her the first member of Trump’s close advisers to admit to crimes related to the 2020 election.,https://www.politico.com/news/2023/10/19/sidney-powell-attorney-who-aided-trumps-bid-to-subvert-election-pleads-guilty-00122444,politico.com,Politico,2023-04-28 22:40:12.228000+00:00
1220,bafyreihsmsiiet3ln4r2sw4q5y7pqzmidltjbabcky5tkgxdvfl4g5x2ga,at://did:plc:yf6hctt2ug3qyfty4in64yob/app.bsky.feed.post/3kc4dmrxnrx27,2,1,0,1,2023-10-19 14:16:05.397000+00:00,"China now has more than 500 nukes, roughly 100 more than last year. The Pentagon thinks that number will double by 2030.",,"‘Major expansion’: China now has more than 500 nukes, Pentagon says","DOD also estimates China will likely double that to more than 1,000 nuclear warheads by 2030.",https://www.politico.com/news/2023/10/19/major-expansion-china-now-has-more-than-500-nukes-pentagon-says-00122440,politico.com,Politico,2023-04-28 22:40:12.228000+00:00
1221,bafyreiavsnnhvhrhfbmbns5ccip3n7pyibeyrplkhrwdu5c7sfjzbl7ufq,at://did:plc:yf6hctt2ug3qyfty4in64yob/app.bsky.feed.post/3kc4dfnxj6m26,1,0,0,0,2023-10-19 14:12:06.321000+00:00,For the record: This replaces a deleted post to remove attribution for the explosion.,,null,null,null,politico.com,Politico,2023-04-28 22:40:12.228000+00:00
1222,bafyreihyk5dfofz6fy54ulqkpv2s564myyr4a5rjjsclfi45xlg33wpswu,at://did:plc:yf6hctt2ug3qyfty4in64yob/app.bsky.feed.post/3kc4dfaqoys27,5,0,2,4,2023-10-19 14:11:52.464000+00:00,"After a horrific explosion reportedly killed hundreds at a Gaza hospital, speculation spread over who was at fault. But statements from U.S. officials, lawmakers and experts ever since seem to back up the Biden admin's conclusion.",,U.S. intel indicates Israel didn’t bomb Gaza hospital,"President Joe Biden was the first to hint at the internal findings, stating during his trip to Israel that “the other team” — meaning Palestinian militants — were to blame.",https://www.politico.com/newsletters/national-security-daily/2023/10/18/u-s-intel-indicates-israel-didnt-bomb-gaza-hospital-00122197,politico.com,Politico,2023-04-28 22:40:12.228000+00:00
1223,bafyreicr6nsyg7opq4nger6n7wecrujupmfobksxcb5ii7o3xix7ol4v3q,at://did:plc:yf6hctt2ug3qyfty4in64yob/app.bsky.feed.post/3kc2mlhsn4m2h,9,0,1,3,2023-10-18 21:51:05.374000+00:00,Israel said it will allow Egypt to deliver limited quantities of humanitarian aid to the Gaza Strip.,,Israel will let Egypt deliver some aid to Gaza via Egypt-Gaza border,"Meanwhile, doctors are struggling to treat hospital blast victims.",https://www.politico.com/news/2023/10/18/israel-egypt-aid-gaza-00122335,politico.com,Politico,2023-04-28 22:40:12.228000+00:00
1224,bafyreiaaptflh4fespa73y2o7zkorvqxqemmhryi7mddzlrymlcco6haqy,at://did:plc:yf6hctt2ug3qyfty4in64yob/app.bsky.feed.post/3kc2esfhw5p2w,3,0,0,0,2023-10-18 19:31:47.839000+00:00,"Senate Republicans say they aren’t sold on President Biden’s pick for U.S. ambassador to Israel. But as long as Democrats stay unified, Jack Lew will be confirmed.",,‘The wrong person’: Senate Republicans slam Biden’s pick for Israel ambassador,"But as long as Democrats stay unified, Jack Lew will be confirmed.",https://www.politico.com/news/2023/10/18/biden-israel-ambassador-republicans-00122287,politico.com,Politico,2023-04-28 22:40:12.228000+00:00
1225,bafyreiah6kwfs4zvwaudton2dkjrcyuc3cnvat2ug2n4plkqoh66vi2e6q,at://did:plc:yf6hctt2ug3qyfty4in64yob/app.bsky.feed.post/3kc23b33t3c2h,7,1,0,3,2023-10-18 16:41:02.943000+00:00,The U.S. will send $100 million in aid to civilians in Gaza and the West Bank.,,Biden announces $100 million in humanitarian aid to Gaza and West Bank,Biden cautioned Hamas against attempting to divert the aid.,https://www.politico.com/news/2023/10/18/biden-humanitarian-aid-gaza-west-bank-00122212,politico.com,Politico,2023-04-28 22:40:12.228000+00:00
1226,bafyreid2tjgixwz752xxnk5mdtscvmy6ekujdyhs6vrhwhiogp3xhljxai,at://did:plc:yf6hctt2ug3qyfty4in64yob/app.bsky.feed.post/3kbzyuc4jtp2u,2,1,0,1,2023-10-18 15:58:06.600000+00:00,"The Treasury Department sanctioned two senior Hamas officials, a Gaza Strip-based crypto exchange and its operators and six individuals who help manage the militant group’s investment portfolio.",,"Treasury imposes sanctions on Hamas-linked crypto exchange, financiers",Crypto’s role in financing Hamas’ activity has emerged as a hot issue for lawmakers.,https://www.politico.com/news/2023/10/18/treasury-crypto-sanctions-hamas-00122179,politico.com,Politico,2023-04-28 22:40:12.228000+00:00
1227,bafyreieb723uipwmbvesl7qgcpbzcjoxtey63x7mcj46ym4b2gjhq3abta,at://did:plc:yf6hctt2ug3qyfty4in64yob/app.bsky.feed.post/3kbzy6ukyj42p,6,1,2,0,2023-10-18 15:46:07.760000+00:00,"A group of centrist Republicans, led by Rep. Dave Joyce, are privately pushing a measure that would expand powers for acting speaker Rep. Patrick McHenry. 

Joyce is expected to move forward with it on the 15th day the House is without a speaker.",,The real House Republican drama: Whether to empower the temp speaker,Even Jim Jordan himself -- whose speakership bid is flailing -- wants a vote on giving new authority to Rep. Patrick McHenry (R-N.C.).,https://www.politico.com/live-updates/2023/10/18/congress/jordans-surprising-call-00122209,politico.com,Politico,2023-04-28 22:40:12.228000+00:00
1228,bafyreiayuiltifbtns4zblydkz7ydqduwr2qku4yl3ewfcuju4eg3tvjaq,at://did:plc:yf6hctt2ug3qyfty4in64yob/app.bsky.feed.post/3kbxopnwzaf2i,2,0,0,1,2023-10-17 17:51:14.236000+00:00,"The House votes today on firebrand Rep. Jim Jordan’s speakership hopes. It could be a long day.

Here’s what to watch for 👇",,Your viewer's guide to the latest House Republican speaker drama,It's time for more voting on who should lead the paralyzed GOP. Here's how to view Jim Jordan's prospects as the day goes on.,https://www.politico.com/live-updates/2023/10/17/congress/a-viewers-guide-00121980,politico.com,Politico,2023-04-28 22:40:12.228000+00:00
1229,bafyreighngdo5sh27cgol5q4crjg4i75cnxikht37biaen2x4eq73sqzri,at://did:plc:yf6hctt2ug3qyfty4in64yob/app.bsky.feed.post/3kbxl2prmg72o,2,1,0,0,2023-10-17 16:45:50.349000+00:00,"Sen. Tim Scott released legislation that would stop Iran from accessing $6 billion made available in exchange for the release of American prisoners, as lawmakers scrambled to sharpen the U.S. response to the Israel-Hamas war.",,Tim Scott unveils bill to block Iran funds,The legislation has 21 Republican co-sponsors.,https://www.politico.com/news/2023/10/17/scott-rolls-out-iran-sanctions-legislation-00121805,politico.com,Politico,2023-04-28 22:40:12.228000+00:00
1230,bafyreigpbxylnhemay47jscv24yspbjoq6k7bo3iixwppqrvtjm625qtxi,at://did:plc:yf6hctt2ug3qyfty4in64yob/app.bsky.feed.post/3kbxbhwnh6u2y,14,0,0,1,2023-10-17 13:54:16.353000+00:00,"The Ukrainian military used U.S.-supplied longer-range missiles to strike nine Russian helicopters in eastern Ukraine, after Washington secretly shipped the weapons in recent weeks.",,Ukraine uses secretly-shipped U.S. missiles to launch surprise strike,The delivery and use on the battlefield marks a major ramp up of the administration’s defense of Ukraine.,https://www.politico.com/news/2023/10/17/ukraine-uses-secretly-shipped-u-s-missiles-to-launch-surprise-strike-00121932,politico.com,Politico,2023-04-28 22:40:12.228000+00:00
1231,bafyreicb5ejcdhrj22tqvgt7wckkb7fhxrmltdtt6u6td6un6zmlaphwe4,at://did:plc:yf6hctt2ug3qyfty4in64yob/app.bsky.feed.post/3kbvmh6thnt2y,3,0,0,1,2023-10-16 22:05:23.092000+00:00,"Humanitarian aid is stuck at the Gaza-Egypt border as Israel's total blockade of supplies to Palestinian territory continues, leaving hospitals on the verge of losing electricity and displaced residents without access to water.",,Humanitarian aid is stuck at Gaza-Egypt border,The Israeli siege is straining hospitals and water supply.,https://www.politico.com/news/2023/10/16/humanitarian-aid-gaza-egypt-border-ap-00121821,politico.com,Politico,2023-04-28 22:40:12.228000+00:00
1232,bafyreia634poytbnislqumeohu6mq2u5b36rgxgeqqs6fgt4dn3da3dd3m,at://did:plc:yf6hctt2ug3qyfty4in64yob/app.bsky.feed.post/3kbvk2qtn252j,5,0,0,1,2023-10-16 21:22:38.237000+00:00,"Charles Littlejohn leaked thousands of confidential tax documents of wealthy people, including Donald Trump's, to investigative newsroom ProPublica.

Here's how he did it, according to court filings 👇",,"How Trump, other high earners had their taxes leaked","IRS consultant Charles Littlejohn, who faces up to five years in prison, didn't use a particularly elaborate scheme to obtain thousands of confidential returns from wealthy people.",https://www.politico.com/news/2023/10/16/trump-littlejohn-tax-returns-irs-00121791,politico.com,Politico,2023-04-28 22:40:12.228000+00:00
